iter	Passed	Remaining
424	1991	2694
425	1995	2688
426	1999	2682
427	2002	2676
428	2007	2672
429	2011	2667
430	2015	2661
431	2019	2655
432	2024	2650
433	2028	2645
434	2031	2639
435	2036	2634
436	2040	2628
437	2043	2622
438	2047	2616
439	2052	2611
440	2057	2607
441	2060	2601
442	2064	2596
443	2069	2591
444	2073	2586
445	2077	2580
446	2081	2575
447	2086	2570
448	2089	2564
449	2093	2559
450	2098	2554
451	2102	2548
452	2106	2543
453	2110	2537
454	2114	2533
455	2118	2527
456	2122	2522
457	2126	2516
458	2130	2511
459	2134	2505
460	2138	2500
461	2142	2494
462	2146	2489
463	2149	2483
464	2153	2477
465	2157	2472
466	2161	2466
467	2165	2461
468	2169	2455
469	2173	2450
470	2176	2444
471	2180	2439
472	2184	2433
473	2188	2428
474	2192	2423
475	2196	2417
476	2200	2412
477	2204	2406
478	2207	2401
479	2211	2396
480	2215	2390
481	2219	2385
482	2223	2379
483	2227	2375
484	2231	2369
485	2236	2364
486	2240	2360
487	2245	2355
488	2249	2350
489	2252	2344
490	2256	2339
491	2260	2334
492	2264	2328
493	2268	2323
494	2271	2317
495	2275	2312
496	2279	2307
497	2283	2302
498	2287	2296
499	2291	2291
500	2295	2286
501	2299	2280
502	2302	2275
503	2306	2270
504	2311	2265
505	2314	2259
506	2318	2254
507	2322	2249
508	2326	2243
509	2330	2238
510	2333	2233
511	2337	2227
512	2341	2223
513	2345	2218
514	2349	2212
515	2353	2207
516	2357	2202
517	2361	2197
518	2365	2192
519	2369	2187
520	2374	2182
521	2378	2177
522	2382	2172
523	2386	2167
524	2390	2163
525	2394	2157
526	2399	2153
527	2404	2149
528	2408	2144
529	2413	2140
530	2417	2135
531	2421	2130
532	2425	2125
533	2429	2120
534	2434	2115
535	2438	2110
536	2442	2105
537	2446	2100
538	2451	2096
539	2455	2091
540	2459	2086
541	2463	2081
542	2467	2076
543	2471	2071
544	2475	2066
545	2480	2062
546	2484	2057
547	2488	2052
548	2492	2047
549	2497	2043
550	2501	2038
551	2505	2033
552	2509	2028
553	2513	2023
554	2517	2018
555	2521	2013
556	2525	2008
557	2529	2003
558	2533	1998
559	2537	1993
560	2542	1989
561	2546	1984
562	2551	1980
563	2555	1975
564	2559	1970
565	2563	1965
566	2567	1960
567	2573	1957
568	2578	1953
569	2582	1948
570	2586	1943
571	2591	1938
572	2595	1933
573	2598	1928
574	2603	1924
575	2607	1919
576	2610	1914
577	2614	1908
578	2618	1904
579	2622	1899
580	2626	1894
581	2630	1889
582	2634	1884
583	2638	1879
584	2642	1874
585	2646	1869
586	2650	1864
587	2654	1859
588	2658	1854
589	2661	1849
590	2666	1845
591	2669	1840
592	2673	1835
593	2677	1830
594	2681	1825
595	2685	1820
596	2689	1815
597	2693	1810
598	2697	1805
599	2700	1800
600	2704	1795
601	2708	1790
602	2712	1785
603	2716	1780
604	2720	1776
605	2724	1771
606	2728	1766
607	2732	1761
608	2736	1756
609	2741	1752
610	2746	1748
611	2751	1744
612	2755	1739
613	2759	1734
614	2763	1729
615	2766	1724
616	2771	1720
617	2774	1715
618	2778	1710
619	2782	1705
620	2786	1700
621	2790	1695
622	2794	1690
623	2798	1686
624	2802	1681
625	2806	1676
626	2810	1671
627	2814	1666
628	2818	1662
629	2822	1657
630	2827	1653
631	2831	1648
632	2836	1644
633	2840	1639
634	2844	1634
635	2848	1630
636	2852	1625
637	2856	1620
638	2859	1615
639	2865	1611
640	2869	1606
641	2873	1602
642	2877	1597
643	2881	1592
644	2885	1587
645	2889	1583
646	2893	1578
647	2897	1573
648	2901	1569
649	2905	1564
650	2909	1559
651	2914	1555
652	2918	1550
653	2922	1546
654	2926	1541
655	2931	1537
656	2936	1533
657	2940	1528
658	2945	1523
659	2949	1519
660	2953	1514
661	2957	1510
662	2961	1505
663	2965	1500
664	2970	1496
665	2975	1492
666	2979	1487
667	2983	1483
668	2988	1478
669	2992	1473
670	2996	1469
671	3000	1464
672	3004	1459
673	3008	1454
674	3012	1450
675	3016	1445
676	3020	1441
677	3024	1436
678	3028	1431
679	3032	1427
680	3036	1422
681	3040	1417
682	3044	1412
683	3049	1408
684	3053	1404
685	3057	1399
686	3061	1394
687	3065	1390
688	3069	1385
689	3073	1380
690	3077	1376
691	3081	1371
692	3086	1367
693	3090	1362
694	3094	1358
695	3099	1353
696	3103	1349
697	3109	1345
698	3112	1340
699	3116	1335
700	3121	1331
701	3125	1326
702	3129	1322
703	3133	1317
704	3137	1312
705	3141	1308
706	3145	1303
707	3149	1299
708	3153	1294
709	3157	1289
710	3161	1285
711	3165	1280
712	3170	1276
713	3173	1271
714	3177	1266
715	3181	1262
716	3186	1257
717	3190	1252
718	3194	1248
719	3198	1243
720	3203	1239
721	3206	1234
722	3210	1230
723	3214	1225
724	3218	1220
725	3222	1216
726	3226	1211
727	3231	1207
728	3234	1202
729	3238	1197
730	3242	1193
731	3247	1189
732	3251	1184
733	3255	1179
734	3260	1175
735	3265	1171
736	3269	1166
737	3273	1162
738	3278	1157
739	3282	1153
740	3286	1148
741	3290	1144
742	3294	1139
743	3298	1134
744	3302	1130
745	3306	1125
746	3310	1121
747	3314	1116
748	3318	1111
749	3322	1107
750	3326	1102
751	3330	1098
752	3334	1093
753	3338	1089
754	3342	1084
755	3346	1080
756	3350	1075
757	3354	1071
758	3358	1066
759	3362	1061
760	3366	1057
761	3370	1052
762	3374	1048
763	3378	1043
764	3382	1038
765	3385	1034
766	3389	1029
767	3393	1025
768	3397	1020
769	3400	1015
770	3404	1011
771	3409	1006
772	3413	1002
773	3416	997
774	3420	993
775	3424	988
776	3429	984
777	3434	979
778	3439	975
779	3443	971
780	3447	966
781	3451	962
782	3455	957
783	3460	953
784	3463	948
785	3467	944
786	3471	939
787	3475	935
788	3479	930
789	3483	925
790	3486	921
791	3490	916
792	3495	912
793	3498	907
794	3503	903
795	3507	898
796	3510	894
797	3514	889
798	3518	885
799	3522	880
800	3526	876
801	3530	871
802	3534	867
803	3538	862
804	3542	858
805	3546	853
806	3550	849
807	3554	844
808	3558	840
809	3561	835
810	3565	830
811	3569	826
812	3573	821
813	3577	817
814	3580	812
815	3585	808
816	3589	804
817	3593	799
818	3597	795
819	3604	791
820	3607	786
821	3611	782
822	3615	777
823	3619	773
824	3624	768
825	3628	764
826	3632	759
827	3636	755
828	3640	750
829	3644	746
830	3648	742
831	3652	737
832	3656	733
833	3660	728
834	3664	724
835	3668	719
836	3671	715
837	3675	710
838	3679	706
839	3683	701
840	3686	697
841	3690	692
842	3694	688
843	3698	683
844	3702	679
845	3705	674
846	3709	670
847	3713	665
848	3717	661
849	3721	656
850	3725	652
851	3729	647
852	3732	643
853	3737	638
854	3740	634
855	3744	629
856	3748	625
857	3753	621
858	3757	616
859	3761	612
860	3765	607
861	3770	603
862	3774	599
863	3778	594
864	3782	590
865	3787	586
866	3791	581
867	3796	577
868	3801	573
869	3805	568
870	3809	564
871	3814	559
872	3819	555
873	3823	551
874	3827	546
875	3832	542
876	3837	538
877	3841	533
878	3846	529
879	3850	525
880	3854	520
881	3859	516
882	3865	512
883	3868	507
884	3873	503
885	3878	499
886	3883	494
887	3886	490
888	3891	485
889	3896	481
890	3900	477
891	3905	472
892	3910	468
893	3914	464
894	3918	459
895	3922	455
896	3927	450
897	3931	446
898	3936	442
899	3941	437
900	3946	433
901	3950	429
902	3955	424
903	3960	420
904	3966	416
905	3971	412
906	3975	407
907	3979	403
908	3983	398
909	3988	394
910	3992	390
911	3997	385
912	4002	381
913	4005	376
914	4010	372
915	4014	368
916	4019	363
917	4023	359
918	4029	355
919	4034	350
920	4039	346
921	4044	342
922	4048	337
923	4052	333
924	4057	328
925	4062	324
926	4067	320
927	4070	315
928	4075	311
929	4081	307
930	4085	302
931	4090	298
932	4095	294
933	4099	289
934	4106	285
935	4112	281
936	4119	276
937	4123	272
938	4129	268
939	4134	263
940	4140	259
941	4143	255
942	4149	250
943	4152	246
944	4156	241
945	4162	237
946	4166	233
947	4170	228
948	4174	224
949	4179	219
950	4183	215
951	4187	211
952	4190	206
953	4195	202
954	4200	197
955	4204	193
956	4208	189
957	4213	184
958	4217	180
959	4221	175
960	4226	171
961	4231	167
962	4235	162
963	4241	158
964	4245	153
965	4249	149
966	4254	145
967	4259	140
968	4264	136
969	4268	132
970	4272	127
971	4277	123
972	4281	118
973	4286	114
974	4292	110
975	4296	105
976	4301	101
977	4305	96
978	4309	92
979	4315	88
980	4321	83
981	4325	79
982	4329	74
983	4333	70
984	4338	66
985	4342	61
986	4348	57
987	4352	52
988	4356	48
989	4361	44
990	4366	39
991	4370	35
992	4375	30
993	4379	26
994	4383	22
995	4387	17
996	4392	13
997	4397	8
998	4401	4
999	4406	0
