iter	Logloss
0	0.6667080499
1	0.641828683
2	0.6182123637
3	0.6002764791
4	0.5768037518
5	0.5596176845
6	0.5397189461
7	0.526744482
8	0.5136008931
9	0.501632393
10	0.4879966266
11	0.4797601428
12	0.4704796887
13	0.4635414477
14	0.4563442491
15	0.4466572047
16	0.4405171526
17	0.4341092417
18	0.4284033914
19	0.4229834369
20	0.4188422536
21	0.4144682896
22	0.40831796
23	0.4050107466
24	0.4010744396
25	0.3979235552
26	0.3947849393
27	0.3920394447
28	0.3877950181
29	0.3854757024
30	0.3832719866
31	0.3813825686
32	0.3787873127
33	0.375788863
34	0.373370579
35	0.3713219039
36	0.3698330151
37	0.3677303173
38	0.3658217791
39	0.3642474789
40	0.3630412942
41	0.3617095543
42	0.3607190212
43	0.3595233776
44	0.3586901691
45	0.3570916245
46	0.3560245812
47	0.3550882464
48	0.3543220026
49	0.3533611893
50	0.352403509
51	0.3518305171
52	0.3511898285
53	0.3506223414
54	0.3499565886
55	0.349252976
56	0.3486587557
57	0.3481461696
58	0.3476801983
59	0.346982881
60	0.346515475
61	0.3460993099
62	0.3453407962
63	0.3444186333
64	0.3436764581
65	0.3432930874
66	0.342695939
67	0.3423726813
68	0.3418934751
69	0.3416083114
70	0.3412790512
71	0.3411464687
72	0.3406917411
73	0.3405345629
74	0.3401657445
75	0.3399053815
76	0.3395835878
77	0.3394415477
78	0.3389954579
79	0.3386023367
80	0.3382337526
81	0.3378988119
82	0.3376590917
83	0.3374302053
84	0.3371602675
85	0.3367506906
86	0.3363285231
87	0.336066901
88	0.3358496683
89	0.3356852578
90	0.3355009365
91	0.3348506731
92	0.33455002
93	0.3342989096
94	0.3341571916
95	0.3340774312
96	0.3338565385
97	0.3336675322
98	0.3334836208
99	0.3333059755
100	0.332883193
101	0.3324614354
102	0.3322579353
103	0.3320563092
104	0.3318668637
105	0.3317010185
106	0.331519918
107	0.3314241705
108	0.3312410204
109	0.3311089942
110	0.3310199519
111	0.3308702988
112	0.3307334706
113	0.3305592511
114	0.3303804638
115	0.330216024
116	0.3300734861
117	0.3298409982
118	0.3296550372
119	0.3295623055
120	0.3295409014
121	0.3294140872
122	0.3293080329
123	0.3291126435
124	0.3289744391
125	0.3289063324
126	0.3287639409
127	0.3285126549
128	0.3283546568
129	0.3282755992
130	0.3281455934
131	0.3279919289
132	0.3278196419
133	0.3277203221
134	0.3273130876
135	0.3271886158
136	0.3269870483
137	0.3269149302
138	0.3265031572
139	0.3264005873
140	0.3262993936
141	0.3260771539
142	0.3260149912
143	0.3259453327
144	0.3258368774
145	0.3257248498
146	0.3256118853
147	0.3254567567
148	0.325278028
149	0.3251686943
150	0.3250368145
151	0.3249150072
152	0.3247821905
153	0.3245983669
154	0.3245564078
155	0.3244945379
156	0.3244897359
157	0.3244485674
158	0.3243631559
159	0.3242986215
160	0.3241872381
161	0.3238815488
162	0.323771893
163	0.3236705235
164	0.3235753909
165	0.3234612844
166	0.3233624624
167	0.3232390448
168	0.3231066379
169	0.3228586606
170	0.3227675101
171	0.32260471
172	0.3225020523
173	0.3224130978
174	0.3221825425
175	0.3221790288
176	0.3220546448
177	0.3218924304
178	0.3218017191
179	0.3216472054
180	0.3215670059
181	0.3214363559
182	0.3213860811
183	0.3213001133
184	0.3212138234
185	0.321051726
186	0.3210048771
187	0.3209934869
188	0.3208523252
189	0.3207640442
190	0.3206222383
191	0.3205438542
192	0.3204399959
193	0.3202565237
194	0.3201237363
195	0.3200033345
196	0.319913648
197	0.3198114588
198	0.3196229796
199	0.3196059676
200	0.3195550486
201	0.3194689344
202	0.3193730112
203	0.3190920932
204	0.3190056569
205	0.3190037244
206	0.3188946835
207	0.3187647069
208	0.3186733515
209	0.3185490554
210	0.318504666
211	0.3184174098
212	0.3183119411
213	0.3182110988
214	0.3181253066
215	0.3179938075
216	0.3179184685
217	0.3178595853
218	0.3177601484
219	0.3176020039
220	0.3174450307
221	0.3173889876
222	0.3172426725
223	0.3171973169
224	0.3171318162
225	0.316994256
226	0.3169670543
227	0.3169358119
228	0.3168903099
229	0.3167998328
230	0.3166902356
231	0.3166033015
232	0.3165292216
233	0.3165221943
234	0.3163717799
235	0.3163355012
236	0.3162286856
237	0.3160971572
238	0.3160208813
239	0.3159145049
240	0.3157587321
241	0.3156833346
242	0.31555043
243	0.3154295305
244	0.3153543965
245	0.3153199332
246	0.3152382696
247	0.3151437519
248	0.3149885355
249	0.3147763098
250	0.3146674152
251	0.3145188455
252	0.3144113565
253	0.3143504236
254	0.3142986555
255	0.3142606785
256	0.3141854274
257	0.3141390177
258	0.3140085727
259	0.3139031625
260	0.313866269
261	0.3138237536
262	0.3137726004
263	0.3135806661
264	0.3134993832
265	0.313372891
266	0.3133203324
267	0.3132507617
268	0.3131825672
269	0.3130678165
270	0.3129848061
271	0.3128939484
272	0.3127915249
273	0.3126745196
274	0.3126175396
275	0.3125047508
276	0.3124882658
277	0.3123705578
278	0.312320693
279	0.3122867275
280	0.3122861126
281	0.3121822251
282	0.3121067983
283	0.3120208012
284	0.3119391376
285	0.3119034738
286	0.3118343716
287	0.3117787971
288	0.3117460028
289	0.31163541
290	0.3115512576
291	0.3114451155
292	0.3113501878
293	0.3113076138
294	0.3112600328
295	0.3111616501
296	0.3110514086
297	0.3109848831
298	0.3108798829
299	0.3107814416
300	0.3107366423
301	0.3106312614
302	0.3104767478
303	0.3104102223
304	0.3103337999
305	0.3102391358
306	0.3101403723
307	0.3100610512
308	0.3099841897
309	0.3099457442
310	0.3097685088
311	0.3096691305
312	0.309577043
313	0.3095246308
314	0.3093946835
315	0.3092567134
316	0.3091655629
317	0.3091233988
318	0.309042643
319	0.3089477738
320	0.308891438
321	0.3088489226
322	0.3087743449
323	0.3086577496
324	0.3085402173
325	0.3084931927
326	0.3083855279
327	0.308252067
328	0.3081790412
329	0.3081132184
330	0.308057234
331	0.3079634775
332	0.3079111238
333	0.3077836947
334	0.3077586305
335	0.3077063646
336	0.3076434114
337	0.3075365079
338	0.3074605833
339	0.307365685
340	0.3072508465
341	0.3071709105
342	0.3070872851
343	0.3069959296
344	0.3068932719
345	0.3067883888
346	0.3066422201
347	0.3065393867
348	0.3063546847
349	0.3062493917
350	0.3060786273
351	0.3059956754
352	0.3058435041
353	0.3057257962
354	0.3056315712
355	0.3055044642
356	0.3054266656
357	0.3052981239
358	0.3051819677
359	0.3050914322
360	0.3049967387
361	0.3049037143
362	0.3047341211
363	0.3045978492
364	0.3045022481
365	0.3044315355
366	0.3043120999
367	0.304213073
368	0.3040566854
369	0.3039489913
370	0.3037969372
371	0.3036835335
372	0.3036168909
373	0.3035211726
374	0.3034140057
375	0.3033290334
376	0.3032571495
377	0.3032168009
378	0.3031321214
379	0.3030167852
380	0.3028913178
381	0.3028017485
382	0.3027355744
383	0.3026183642
384	0.3025106116
385	0.3024003702
386	0.3022651524
387	0.3021486742
388	0.3020709049
389	0.3019662268
390	0.3018637448
391	0.3016291487
392	0.3015485392
393	0.3014570373
394	0.3013117471
395	0.3012315475
396	0.3011378203
397	0.3010528481
398	0.3008961969
399	0.3007183759
400	0.3005455911
401	0.3003801558
402	0.3002837055
403	0.3001809306
404	0.3000640132
405	0.2999890842
406	0.2999028236
407	0.2997520285
408	0.2996627813
409	0.2995330097
410	0.2993996659
411	0.2993039769
412	0.2992255342
413	0.2991467402
414	0.2990789263
415	0.2989136666
416	0.2988298363
417	0.2987368997
418	0.2985682142
419	0.2984561281
420	0.2983576868
421	0.2982578692
422	0.2981763814
423	0.298054984
424	0.2979642142
425	0.2979057994
426	0.2978182505
427	0.2977314335
428	0.2976580271
429	0.297548664
430	0.2974613493
431	0.2973089439
432	0.297229857
433	0.2971763906
434	0.2970213206
435	0.2968383169
436	0.2967378845
437	0.2966496328
438	0.2965801792
439	0.2964767602
440	0.2963368282
441	0.2962181833
442	0.296123402
443	0.2960593653
444	0.2959939818
445	0.2958983221
446	0.2958256769
447	0.2956693186
448	0.2956204493
449	0.2955261951
450	0.2954297448
451	0.2953345829
452	0.2952479709
453	0.2951593093
454	0.2950113251
455	0.2949442726
456	0.2948676453
457	0.2947705801
458	0.2946630325
459	0.2945719992
460	0.2944124199
461	0.2943189856
462	0.2942302947
463	0.2941462008
464	0.294015463
465	0.2939418808
466	0.2938388717
467	0.2937014286
468	0.293594086
469	0.2935298151
470	0.293384759
471	0.2932820134
472	0.2932380925
473	0.2931523297
474	0.2931082624
475	0.2930265696
476	0.2929481561
477	0.2928888337
478	0.2928067016
479	0.2926470931
480	0.2925454602
481	0.29239528
482	0.2922734142
483	0.2921825858
484	0.29211363
485	0.2920255833
486	0.2919345499
487	0.291816637
488	0.2917529224
489	0.2917077717
490	0.2916003998
491	0.2914848293
492	0.2914004719
493	0.2913039338
494	0.2912257546
495	0.2911698287
496	0.2911154839
497	0.2910097224
498	0.2909313383
499	0.2908145966
500	0.2906295432
501	0.2905793856
502	0.2904506681
503	0.2903451116
504	0.2902812213
505	0.2902365977
506	0.290177041
507	0.2900564928
508	0.2899413908
509	0.2898989339
510	0.2898098624
511	0.2896736198
512	0.2895816495
513	0.289475888
514	0.2894163312
515	0.2893173628
516	0.2892140609
517	0.2890965872
518	0.2890426816
519	0.2889458507
520	0.2888229601
521	0.288736758
522	0.2886339246
523	0.288551324
524	0.2884956909
525	0.2884212011
526	0.2883712777
527	0.2882768478
528	0.288228974
529	0.2881376478
530	0.2880690141
531	0.2879777758
532	0.2878998894
533	0.2877886232
534	0.2876927292
535	0.2876254717
536	0.2875690773
537	0.287484515
538	0.2874441663
539	0.2873576129
540	0.2872731091
541	0.2871925289
542	0.2871235146
543	0.2870851277
544	0.2869785171
545	0.2868718186
546	0.2867926439
547	0.2866859747
548	0.2866397699
549	0.2865601853
550	0.2864667216
551	0.2863921732
552	0.2862968942
553	0.2861968424
554	0.2860848441
555	0.2859470204
556	0.285911181
557	0.2857738843
558	0.2857232288
559	0.2856022707
560	0.2855473111
561	0.2854239226
562	0.2853125978
563	0.2852428222
564	0.2851693572
